 GROUP;NAME;H(AVARAGE);S(AVARAGE);V(AVARAGE);H(MEDIAN);S(MEDIAN);V(MEDIAN);H(MODE);S(MODE);V(MODE) 
 PAMS;PAMS-MEMBRANOUS  (24).jpg;198;21;59;197;16;60;147;9;98 
 PAMS;PAMS-MEMBRANOUS  (25).jpg;185;14;60;165;8;71;160;3;80 
 PAMS;PAMS-MEMBRANOUS  (26).jpg;189;12;62;164;7;74;160;5;82 
 PAMS;PAMS-MEMBRANOUS  (27).jpg;175;11;66;160;6;76;160;3;80 
 PAMS;PAMS-MEMBRANOUS  (28).jpg;195;14;51;191;6;64;191;3;71 
 PAMS;PAMS-MEMBRANOUS  (29).jpg;185;13;54;191;6;67;191;3;73 
 PAMS;PAMS-MEMBRANOUS  (3).jpg;172;5;61;150;3;65;132;3;69 
 PAMS;PAMS-MEMBRANOUS  (30).jpg;194;13;54;191;5;66;191;3;71 
 PAMS;PAMS-MEMBRANOUS  (31).jpg;138;14;70;90;11;83;85;10;91 
 PAMS;PAMS-MEMBRANOUS  (32).jpg;115;14;63;52;10;77;35;9;82 
 PAMS;PAMS-MEMBRANOUS  (33).jpg;165;16;58;113;12;70;92;7;89 
 PAMS;PAMS-MEMBRANOUS  (34).jpg;162;15;56;107;10;69;85;7;85 
 PAMS;PAMS-MEMBRANOUS  (35).jpg;143;14;62;90;10;75;60;6;85 
 PAMS;PAMS-MEMBRANOUS  (36).jpg;146;15;59;92;11;73;60;6;82 
 PAMS;PAMS-MEMBRANOUS  (4).jpg;185;14;63;151;9;72;120;8;87 
 PAMS;PAMS-MEMBRANOUS  (5).jpg;126;13;75;88;11;82;85;11;96 
 PAMS;PAMS-MEMBRANOUS  (6).jpg;181;12;61;165;7;72;160;5;80 
 PAMS;PAMS-MEMBRANOUS  (7).jpg;149;15;62;97;11;73;76;7;84 
 PAMS;PAMS-NORMAL  GLOMERULUS  (1).jpg;140;12;71;40;10;86;0;7;100 
 PAMS;PAMS-NORMAL  GLOMERULUS  (1).TIF;206;10;72;299;8;78;0;8;80 
 PAMS;PAMS-NORMAL  GLOMERULUS  (10).jpg;66;12;70;21;10;77;19;9;80 
 PAMS;PAMS-NORMAL  GLOMERULUS  (11).jpg;98;11;73;55;9;81;45;8;82 
 PAMS;PAMS-NORMAL  GLOMERULUS  (12).jpg;91;11;73;51;9;81;45;8;84 
 PAMS;PAMS-NORMAL  GLOMERULUS  (13).jpg;94;11;73;51;9;81;44;8;84 
 PAMS;PAMS-NORMAL  GLOMERULUS  (14).jpg;92;19;76;30;19;89;26;18;100 
 PAMS;PAMS-NORMAL  GLOMERULUS  (15).jpg;125;24;62;43;20;76;28;19;95 
 PAMS;PAMS-NORMAL  GLOMERULUS  (16).jpg;82;20;76;28;19;85;28;19;91 
 PAMS;PAMS-NORMAL  GLOMERULUS  (17).jpg;98;21;70;31;20;82;28;19;89 
 PAMS;PAMS-NORMAL  GLOMERULUS  (18).jpg;104;20;63;34;19;76;28;17;84 
 PAMS;PAMS-NORMAL  GLOMERULUS  (19).jpg;82;17;76;27;16;88;22;16;91 
 PAMS;PAMS-NORMAL  GLOMERULUS  (2).jpg;77;13;65;19;11;73;19;9;78 
 PAMS;PAMS-NORMAL  GLOMERULUS  (20).jpg;129;18;60;60;15;75;21;13;85 
 PAMS;PAMS-NORMAL  GLOMERULUS  (21).jpg;77;17;78;26;16;89;22;15;91 
 PAMS;PAMS-NORMAL  GLOMERULUS  (22).jpg;126;20;72;37;16;83;26;13;100 
 PAMS;PAMS-NORMAL  GLOMERULUS  (23).jpg;75;16;82;22;16;89;20;15;96 
 PAMS;PAMS-NORMAL  GLOMERULUS  (24).jpg;92;25;66;34;18;85;26;15;100 
 PAMS;PAMS-NORMAL  GLOMERULUS  (25).jpg;114;15;71;25;14;79;21;13;89 
 PAMS;PAMS-NORMAL  GLOMERULUS  (26).jpg;118;20;62;31;16;75;21;15;87 
 PAMS;PAMS-NORMAL  GLOMERULUS  (27).jpg;182;20;53;247;17;49;339;11;93 
 PAMS;PAMS-NORMAL  GLOMERULUS  (28).jpg;162;19;55;209;15;57;0;12;95 
 PAMS;PAMS-NORMAL  GLOMERULUS  (29).jpg;157;17;74;92;11;90;60;2;100 
 PAMS;PAMS-NORMAL  GLOMERULUS  (3).jpg;87;14;66;23;11;73;19;9;80 
 PAMS;PAMS-NORMAL  GLOMERULUS  (30).jpg;106;18;74;28;14;87;21;13;93 
 PAMS;PAMS-NORMAL  GLOMERULUS  (31).jpg;134;18;73;60;12;87;60;9;100 
 PAMS;PAMS-NORMAL  GLOMERULUS  (32).jpg;108;19;77;34;13;92;29;12;96 
 PAMS;PAMS-NORMAL  GLOMERULUS  (33).jpg;125;20;62;42;13;78;23;10;84 
 PAMS;PAMS-NORMAL  GLOMERULUS  (34).jpg;162;13;70;131;9;85;103;7;100 
 PAMS;PAMS-NORMAL  GLOMERULUS  (35).jpg;182;15;70;209;7;84;0;0;100 
 PAMS;PAMS-NORMAL  GLOMERULUS  (4).jpg;74;13;65;19;11;73;19;9;78 
 PAMS;PAMS-NORMAL  GLOMERULUS  (5).jpg;81;13;65;21;10;73;21;8;78 
 PAMS;PAMS-NORMAL  GLOMERULUS  (6).jpg;77;13;64;19;11;73;19;9;78 
 PAMS;PAMS-NORMAL  GLOMERULUS  (7).jpg;58;16;66;19;14;72;19;9;78 
 PAMS;PAMS-NORMAL  GLOMERULUS  (8).jpg;66;12;72;22;10;78;19;9;80 
 PAMS;PAMS-NORMAL  GLOMERULUS  (9).jpg;63;12;71;21;9;78;19;9;80 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (1).jpg;195;37;79;321;35;82;27;33;91 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (10).jpg;304;26;52;318;26;53;320;15;55 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (11).jpg;306;24;52;317;24;53;318;24;55 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (12).jpg;300;26;52;317;26;53;320;28;55 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (13).jpg;299;24;52;317;24;53;318;14;56 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (14).jpg;294;22;54;317;22;55;318;11;56 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (141).jpg;286;26;58;327;24;57;331;22;58 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (142).jpg;282;25;65;316;24;64;325;8;64 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (143).jpg;266;21;61;321;19;62;324;11;62 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (144).jpg;287;24;69;319;23;69;325;23;69 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (145).jpg;279;23;67;314;22;67;325;5;67 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (146).jpg;292;14;71;306;14;71;311;13;71 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (147).jpg;285;15;70;317;15;70;324;13;69 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (148).jpg;248;26;72;337;25;72;339;20;71 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (149).jpg;216;24;74;334;23;75;339;20;76 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (15).jpg;266;24;54;318;22;55;28;11;69 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (150).jpg;239;26;73;337;25;73;339;21;71 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (151).jpg;224;25;74;334;23;75;339;20;76 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (152).jpg;231;27;73;337;25;74;339;20;75 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (153).jpg;229;28;74;337;25;75;339;21;75 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (154).jpg;220;25;82;336;22;84;339;19;85 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (155).jpg;266;24;79;333;22;79;339;18;78 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (156).jpg;288;35;61;330;36;61;334;19;60 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (157).jpg;263;32;62;329;32;60;334;19;56 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (158).jpg;245;24;78;339;23;78;339;20;76 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (159).jpg;217;24;79;336;22;80;339;20;82 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (16).jpg;272;21;73;323;18;75;3;10;84 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (160).jpg;243;24;80;339;22;80;339;20;80 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (161).jpg;283;25;76;339;24;77;339;20;78 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (162).jpg;268;25;76;337;24;78;339;20;76 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (163).jpg;271;20;74;333;19;76;339;17;78 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (164).jpg;217;19;86;332;19;86;339;17;100 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (165).jpg;226;22;79;339;22;80;345;20;80 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (166).jpg;199;22;78;325;21;79;19;19;76 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (167).jpg;203;22;81;326;20;82;23;18;96 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (168).jpg;280;23;64;324;22;64;325;8;64 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (169).jpg;284;26;61;323;25;62;325;9;65 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (17).jpg;308;29;66;315;26;67;319;3;65 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (170).jpg;291;26;62;325;26;63;327;8;56 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (171).jpg;279;23;65;325;21;66;325;8;65 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (172).jpg;285;26;62;324;25;62;325;8;65 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (173).jpg;242;23;65;320;21;66;327;8;80 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (174).jpg;282;26;58;323;24;58;325;21;60 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (175).jpg;282;24;59;323;24;59;325;21;60 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (176).jpg;305;29;59;328;29;59;331;28;60 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (177).jpg;302;28;60;328;26;61;331;19;64 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (178).jpg;303;18;72;317;18;72;325;17;73 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (179).jpg;303;20;71;318;19;71;325;18;73 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (18).jpg;241;29;59;324;28;58;21;15;73 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (19).jpg;267;21;75;322;20;75;325;9;91 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (2).jpg;266;14;65;293;12;65;311;3;64 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (20).jpg;283;23;67;322;23;67;325;11;67 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (21).jpg;263;26;56;325;26;56;339;15;55 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (22).jpg;287;27;73;312;28;71;319;2;64 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (23).jpg;279;24;77;304;24;76;312;0;100 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (24).jpg;293;22;68;308;20;68;312;16;67 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (25).jpg;252;16;80;300;15;80;312;6;96 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (26).jpg;264;18;66;284;17;65;150;1;64 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (27).jpg;278;19;74;285;18;74;297;12;75 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (28).jpg;277;17;76;286;16;76;297;15;76 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (29).jpg;282;17;76;291;16;76;299;12;78 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (3).jpg;262;38;79;338;36;82;339;32;84 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (30).jpg;274;20;73;286;19;73;307;3;76 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (31).jpg;272;17;76;284;15;77;291;12;80 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (32).jpg;271;22;72;291;21;71;165;2;71 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (33).jpg;264;17;72;277;17;72;191;2;73 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (34).jpg;267;17;64;288;16;64;299;1;64 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (35).jpg;281;24;58;296;24;58;307;23;55 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (36).jpg;283;24;59;296;24;58;309;21;55 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (37).jpg;269;22;74;279;21;74;291;19;100 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (38).jpg;265;24;76;275;24;76;272;4;100 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (39).jpg;271;21;62;305;22;62;312;22;64 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (4).jpg;290;16;68;312;15;69;318;13;71 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (40).jpg;278;21;61;304;21;61;306;14;62 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (41).jpg;250;11;76;299;9;76;318;6;76 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (42).jpg;265;16;83;292;14;84;299;2;100 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (43).jpg;268;19;70;304;18;69;312;9;69 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (44).jpg;280;20;67;307;18;67;312;13;67 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (45).jpg;281;16;79;316;15;80;318;11;82 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (46).jpg;277;14;80;314;13;82;312;8;84 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (47).jpg;276;13;83;318;13;83;326;10;84 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (48).jpg;274;13;90;299;13;92;299;0;100 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (49).jpg;288;15;79;317;15;80;320;11;82 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (5).jpg;271;20;53;293;21;53;306;1;53 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (50).jpg;293;15;79;318;15;80;320;12;82 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (6).jpg;272;17;89;289;18;93;299;0;100 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (7).jpg;275;26;72;280;27;71;293;28;65 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (8).jpg;296;30;44;327;30;45;331;35;47 
 PAS;PAS-GLOMERULAR  SCLEROSIS  GLOMERULUS  (9).jpg;248;24;47;325;23;49;51;10;55 
 PAS;PAS-NORMAL  GLOMERULUS  (1).jpg;223;31;51;331;27;53;339;24;56 
 PAS;PAS-NORMAL  GLOMERULUS  (1).TIF;292;20;70;316;18;71;315;8;80 
 PAS;PAS-NORMAL  GLOMERULUS  (100).jpg;249;16;73;301;13;73;318;7;73 
 PAS;PAS-NORMAL  GLOMERULUS  (101).jpg;240;13;79;259;11;80;160;5;78 
 PAS;PAS-NORMAL  GLOMERULUS  (102).jpg;252;11;81;272;9;82;299;5;82 
 PAS;PAS-NORMAL  GLOMERULUS  (103).jpg;270;12;61;309;11;62;318;7;62 
 PAS;PAS-NORMAL  GLOMERULUS  (104).jpg;277;13;66;307;11;66;311;7;65 
 PAS;PAS-NORMAL  GLOMERULUS  (105).jpg;298;25;77;312;25;77;318;13;100 
 PAS;PAS-NORMAL  GLOMERULUS  (106).jpg;308;22;71;318;22;72;320;17;73 
 PAS;PAS-NORMAL  GLOMERULUS  (107).jpg;308;23;61;330;23;62;331;19;64 
 PAS;PAS-NORMAL  GLOMERULUS  (108).jpg;309;24;60;328;23;61;331;17;62 
 PAS;PAS-NORMAL  GLOMERULUS  (109).jpg;253;18;87;286;18;92;299;0;100 
 PAS;PAS-NORMAL  GLOMERULUS  (110).jpg;234;34;80;337;33;83;342;32;82 
 PAS;PAS-NORMAL  GLOMERULUS  (111).jpg;139;20;71;44;18;72;0;16;75 
 PAS;PAS-NORMAL  GLOMERULUS  (2).jpg;256;20;71;321;18;71;331;10;71 
 PAS;PAS-NORMAL  GLOMERULUS  (2).TIF;276;18;76;312;18;76;315;7;73 
 PAS;PAS-NORMAL  GLOMERULUS  (3).jpg;272;21;70;323;19;70;331;10;71 
 PAS;PAS-NORMAL  GLOMERULUS  (3).TIF;293;19;74;312;19;74;315;18;71 
 PAS;PAS-NORMAL  GLOMERULUS  (4).jpg;267;15;73;329;15;74;339;14;73 
 PAS;PAS-NORMAL  GLOMERULUS  (4).TIF;260;16;78;312;16;78;315;6;91 
 PAS;PAS-NORMAL  GLOMERULUS  (5).jpg;256;15;74;328;15;74;339;14;73 
 PAS;PAS-NORMAL  GLOMERULUS  (5).TIF;275;20;73;313;19;73;315;7;87 
 PAS;PAS-NORMAL  GLOMERULUS  (6).jpg;262;19;71;324;18;71;331;8;71 
 PAS;PAS-NORMAL  GLOMERULUS  (62).jpg;265;19;78;333;17;79;339;15;78 
 PAS;PAS-NORMAL  GLOMERULUS  (63).jpg;266;21;74;321;18;75;325;11;75 
 PAS;PAS-NORMAL  GLOMERULUS  (64).jpg;265;19;75;325;17;76;339;11;82 
 PAS;PAS-NORMAL  GLOMERULUS  (65).jpg;249;20;80;328;18;80;339;13;78 
 PAS;PAS-NORMAL  GLOMERULUS  (66).jpg;306;26;72;335;24;75;339;20;78 
 PAS;PAS-NORMAL  GLOMERULUS  (67).jpg;294;26;73;334;24;74;339;15;78 
 PAS;PAS-NORMAL  GLOMERULUS  (68).jpg;295;25;75;335;23;76;339;17;78 
 PAS;PAS-NORMAL  GLOMERULUS  (69).jpg;298;28;76;334;25;76;339;20;78 
 PAS;PAS-NORMAL  GLOMERULUS  (70).jpg;221;19;85;328;17;87;339;14;89 
 PAS;PAS-NORMAL  GLOMERULUS  (71).jpg;294;25;78;335;23;80;339;15;82 
 PAS;PAS-NORMAL  GLOMERULUS  (72).jpg;286;25;73;323;21;74;325;16;75 
 PAS;PAS-NORMAL  GLOMERULUS  (73).jpg;267;24;74;321;21;75;325;13;100 
 PAS;PAS-NORMAL  GLOMERULUS  (74).jpg;262;24;77;322;20;79;339;14;100 
 PAS;PAS-NORMAL  GLOMERULUS  (75).jpg;256;23;78;322;19;80;339;14;100 
 PAS;PAS-NORMAL  GLOMERULUS  (76).jpg;267;29;73;331;25;74;339;16;75 
 PAS;PAS-NORMAL  GLOMERULUS  (77).jpg;289;24;83;333;21;85;339;19;100 
 PAS;PAS-NORMAL  GLOMERULUS  (78).jpg;288;20;74;327;18;75;339;14;75 
 PAS;PAS-NORMAL  GLOMERULUS  (79).jpg;289;19;78;335;19;79;339;16;80 
 PAS;PAS-NORMAL  GLOMERULUS  (80).jpg;302;20;84;331;20;85;339;19;87 
 PAS;PAS-NORMAL  GLOMERULUS  (81).jpg;283;20;78;330;19;79;339;15;80 
 PAS;PAS-NORMAL  GLOMERULUS  (82).jpg;285;19;78;331;18;80;339;15;80 
 PAS;PAS-NORMAL  GLOMERULUS  (83).jpg;298;18;84;329;17;85;331;14;85 
 PAS;PAS-NORMAL  GLOMERULUS  (84).jpg;267;21;79;327;18;82;339;14;84 
 PAS;PAS-NORMAL  GLOMERULUS  (85).jpg;265;19;80;327;15;82;339;12;84 
 PAS;PAS-NORMAL  GLOMERULUS  (86).jpg;296;20;81;332;18;84;339;13;87 
 PAS;PAS-NORMAL  GLOMERULUS  (87).jpg;287;20;82;326;20;82;325;17;80 
 PAS;PAS-NORMAL  GLOMERULUS  (88).jpg;294;21;79;325;20;79;325;17;78 
 PAS;PAS-NORMAL  GLOMERULUS  (89).jpg;295;20;81;327;19;81;331;16;80 
 PAS;PAS-NORMAL  GLOMERULUS  (90).jpg;281;19;82;329;17;84;339;15;84 
 PAS;PAS-NORMAL  GLOMERULUS  (91).jpg;284;20;81;327;18;83;339;13;85 
 PAS;PAS-NORMAL  GLOMERULUS  (92).jpg;275;19;79;323;16;80;339;12;80 
 PAS;PAS-NORMAL  GLOMERULUS  (93).jpg;282;16;84;329;15;85;339;13;87 
 PAS;PAS-NORMAL  GLOMERULUS  (94).jpg;277;17;73;323;17;74;325;10;75 
 PAS;PAS-NORMAL  GLOMERULUS  (95).jpg;277;12;78;315;11;79;318;8;80 
 PAS;PAS-NORMAL  GLOMERULUS  (96).jpg;262;13;77;284;12;78;279;1;87 
 PAS;PAS-NORMAL  GLOMERULUS  (97).jpg;290;16;80;314;15;83;312;11;85 
 PAS;PAS-NORMAL  GLOMERULUS  (98).jpg;259;17;68;296;17;68;22;4;82 
 PAS;PAS-NORMAL  GLOMERULUS  (99).jpg;257;14;86;304;13;87;60;2;100 
